編號,事業單位名稱,代表人,違反法令條,違反法規內容,處分書文號,處分日期
1,昕琦科技股份有限公司,張瑞強,性別工作平等法第13條第2項,職場性騷擾防治,108年府勞條字1080138778號,108年6月11日
2,風采矯正牙醫診所,洪弘祐,性別工作平等法第11條第1項,懷孕解僱,108年府勞條字第108014281號,108年6月17日
3,神雲科技股份有限公司,何繼武,性別工作平等法第21條第2項,育嬰留職停薪復職遭拒,108年府勞條字1080159051號,108年7月1日
4,長榮航空股份有限公司,林寶水,性別工作平等法第13條第2項,職場性騷擾防治,108年府勞條字1080154110號,108年7月9日
5,輝能科技股份有限公司,楊思柟,性別工作平等法第21條第2項,育嬰留職停薪復職遭拒,108年府勞條字1080183543號,108年7月25日
