編號,事業單位名稱,代表人,違反法令條,違反法規內容,處分書文號,處分日期
1,"美商必丕志國際股份有限公司
",王雅慧,性別工作平等法第21條,育嬰留職停薪未恢復原職務,府勞條字第1060086744號函,106/4/27
2,"錞鴻企業有限公司
",張宜德,性別工作平等法第21條,申請育嬰留職停薪復職遭受拒絕,府勞條字第1060106675號函,106/5/15
3,"力翰文教管理顧問股份有限公司
",吳志榮,性別工作平等法第21條,申請調整工作時間遭受拒絕,府勞條字第1060116243號函,106/5/23
