編號,事業單位名稱,代表人,違反法令條,違反法規內容,處分書文號,處分日期
1,品辰租賃有限公司,徐藝菱,性別工作平等法第21條第2項,受僱者請安胎休養假受不利處分,府勞條字第1070286660號,107年11月16日
2,尚茂電子材料股份有限公司,佐佐木 Beji,性別工作平等法第13條第2項,職場性騷擾防治,府勞條字第1070289944號,107年11月20日
