編號,事業單位名稱,代表人,違反法令條,違反法規內容,處分書文號,處分日期
1,景盛食品有限公司,林震宇,性別工作平等法第13條,"職場性騷擾
",府勞條字第10502386651號函,105/10/5
2,新坡輪胎有限公司,呂金在,性別工作平等法第 13 條,職場性騷擾,"府勞條字第
10502455271號函
",105/10/18
3,復康拓開發有限公司,呂學遠,性別工作平等法第 21 條,申請育嬰留職停薪遭受拒絕,"府勞條字第
10502715361號函
",105/11/1
