編號,事業單位名稱,代表人,違反法令條,違反法規內容,處分書文號,處分日期
1,國瑞汽車股份有限公司,長沼一生,性別工作平等法第21條第2項,請育嬰留職停薪遭不利處分,111年府勞條字第1110132607號,111年5月27日
2,穎華科技股份有限公司,張志成,性別工作平等法第13條第2項,職場性騷擾防治,111年府勞條字第1110202466號,111年7月22日
