編號,事業單位名稱,代表人,違反法令條,違反法規內容,處分書文號,處分日期
1,嘉信公寓大廈管理維護股份有限,胡玉蓉,性別工作平等法第13條第2項,職場性騷擾防治,府勞條字第1070156719號,107/6/29
2,力訓科技有限公司,童連城,性別工作平等法第11條第1項,懷孕解僱,府勞條字第1070156464號,107/7/3
3,展進實業有限公司,張吳鳳蓮,性別工作平等法第21條,雇主未提供哺集乳時間,府勞條字第1070165418號,107/7/10
