編號,事業單位名稱,代表人,違反法令條,違反法規內容,處分書文號,處分日期
1,廣達電腦股份有限公司,林百里,性別工作平等法第21條第2項,受僱者請安胎休養及產假受不利處分,109年府勞條字1090129967號,109年5月25日
2,大同股份有限公司,林郭文艷,性別工作平等法第13條第2項,職場性騷擾防治,109年府勞條字1090127535號,109年6月3日
3,美磊科技股份有限公司,鐘世英,性別工作平等法第11條第2項,工作規則、勞動契約或團體協約，不得規定或事先約定受僱者有結婚、懷孕、分娩或育兒之情事時，應行離職或留職停薪；亦不得以其為解僱之理由。,109年府勞條字1090135602號,109年6月5日
4,富豐國際食品股份有限公司,余宗漢,性別工作平等法第11條第1項,懷孕解僱,109年府勞條字1090142588號,109年6月5日
5,惠康百貨股份有限公司,朱秉志,性別工作平等法第7條,雇主對受僱者之配置因性別而有差別待遇,109年府勞條字1090139521號,109年6月10日
